original,Headline,date,Price movement
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,31/12/2020,Down
KLCI retreats on profit taking on final trading day of 2020,KLCI retreats on profit taking on final trading day of 2020,31/12/2020,Down
Cover Story: Delicate balancing act in a tough Covid-19 environment,Cover Story: Delicate balancing act in a tough Covid-19 environment,31/12/2020,Down
These are the top gainers and losers on Bursa in 2020,These are the top gainers and losers on Bursa in 2020,31/12/2020,Down
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,30/12/2020,Up
"Top Glove founder bumps up stake to 34.8%, share price up in morning trading","Top Glove founder bumps up stake to 34.8%, share price up in morning trading",30/12/2020,Up
EVENING 5: TNB gets OK to challenge tax claim,EVENING 5: TNB gets OK to challenge tax claim,30/12/2020,Up
Top Glove rises as much as 3.7% on resuming trade,Top Glove rises as much as 3.7% on resuming trade,30/12/2020,Up
"KLCI reverses loss, edges higher as regional markets pause","KLCI reverses loss, edges higher as regional markets pause",30/12/2020,Up
Trading of Top Glove securities halted until 10am,Trading of Top Glove securities halted until 10am,30/12/2020,Up
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,29/12/2020,Up
"KLCI ends 0.54% lower, weighed down by glove makers","KLCI ends 0.54% lower, weighed down by glove makers",29/12/2020,Up
No year-end party for glove bulls,No year-end party for glove bulls,29/12/2020,Up
"Insider Moves: Chemical Company of Malaysia Bhd, EA Holdings Bhd, MQ Technology Bhd, SMTrack Bhd, Top Glove Corp Bhd, Ho Wah Genting Bhd, MISC Bhd","Insider Moves: Chemical Company of Malaysia Bhd, EA Holdings Bhd, MQ Technology Bhd, SMTrack Bhd, Top Glove Corp Bhd, Ho Wah Genting Bhd, MISC Bhd",29/12/2020,Up
"KLCI bucks regional trend, retreats on mild profit-taking activity","KLCI bucks regional trend, retreats on mild profit-taking activity",29/12/2020,Up
Property outlook still challenging with some bright spots emerging — AmInvestment,Property outlook still challenging with some bright spots emerging — AmInvestment,29/12/2020,Up
EVENING 5: Five things you need to know today,EVENING 5: Five things you need to know today,28/12/2020,Down
